"T","S","Y","weekend"
2018-10-31,110482,120503,0
2018-11-01,65472,175954,0
2018-11-02,99555,275509,0
2018-11-03,109950,385459,1
2018-11-04,101949,487408,1
2018-11-05,80136,567544,0
2018-11-06,85040,652584,0
2018-11-07,89874,742458,0
2018-11-08,94697,837155,0
2018-11-09,150117,987272,0
2018-11-10,161163,1148435,1
2018-11-11,155826,1304261,1
2018-11-12,109370,1413631,0
2018-11-13,119032,1532663,0
2018-11-14,119169,1651832,0
2018-11-15,131138,1782970,0
2018-11-16,170462,1953432,0
2018-11-17,163184,2116616,1
2018-11-18,159657,2276273,1
2018-11-19,135596,2411869,0
2018-11-20,130475,2542344,0
2018-11-21,153271,2695615,0
2018-11-22,131665,2827280,0
2018-11-23,189644,3016924,0
2018-11-24,197752,3214676,1
2018-11-25,185141,3399817,1
2018-11-26,135951,3535768,0
2018-11-27,131835,3667603,0
2018-11-28,202908,3870511,0
2018-11-29,127482,3997993,0
2018-11-30,183961,4181954,0
2018-12-01,164025,4345979,1
2018-12-02,146121,4492100,1
2018-12-03,111722,4603822,0
2018-12-04,114001,4717823,0
2018-12-05,96186,4814009,0
2018-12-06,94070,4908079,0
2018-12-07,122109,5030188,0
2018-12-08,125408,5155596,1
2018-12-09,112171,5267767,1
2018-12-10,78046,5345813,0
2018-12-11,83532,5429345,0
2018-12-12,83002,5512347,0
2018-12-13,83966,5596313,0
2018-12-14,114158,5710471,0
2018-12-15,113527,5823998,1
2018-12-16,106294,5930292,1
2018-12-17,79174,6009466,0
